Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-01, 10:28:30:00,0.082,-0.005,0.991,0.061,0.244,0.061
2025-02-01, 10:28:30:51,0.082,-0.005,0.991,0.122,0.305,0.122
2025-02-01, 10:28:31:02,0.082,-0.006,0.991,0,0.061,0.061
2025-02-01, 10:28:31:52,0.08,-0.006,0.992,-0.671,2.075,-0.061
2025-02-01, 10:28:32:03,0.08,-0.007,0.992,0.061,0.671,-0.061
2025-02-01, 10:28:32:54,0.08,-0.006,0.991,0,0.183,0.061
2025-02-01, 10:28:33:05,0.079,-0.007,0.992,0.061,0.244,0
2025-02-01, 10:28:33:56,0.079,-0.006,0.992,0.061,0.305,0
2025-02-01, 10:28:34:07,0.078,-0.007,0.991,0,0.793,-0.122
2025-02-01, 10:28:34:58,0.062,0.036,1.062,1.709,41.382,-27.405
2025-02-01, 10:28:35:09,0.717,-1.409,0.587,-151.55,189.087,-6.042
2025-02-01, 10:28:35:59,-0.158,0.999,-0.05,315.796,281.677,231.14
2025-02-01, 10:28:36:10,-0.12,-1.224,0.84,-18.494,97.473,169.067
2025-02-01, 10:28:36:61,-0.134,-0.975,0.167,29.663,-96.863,-2.93
2025-02-01, 10:28:37:12,-0.361,-0.846,-0.435,-92.041,413.025,190.491
2025-02-01, 10:28:37:63,0.161,-0.52,0.15,-200.378,114.807,425.354
2025-02-01, 10:28:38:14,-0.169,0.793,-0.207,-195.74,-2.075,390.381
2025-02-01, 10:28:38:65,-0.223,-0.791,-1.171,13.733,-7.263,-207.642
2025-02-01, 10:28:39:16,-0.882,-0.124,-0.292,30.945,-180.603,-81.909
2025-02-01, 10:28:39:67,-0.39,-0.57,-0.062,43.213,-37.476,-17.151
2025-02-01, 10:28:40:18,-0.49,-0.391,-0.821,-48.95,65.247,46.509
2025-02-01, 10:28:40:69,-0.464,-0.942,1.206,-14.526,-61.218,13.245
2025-02-01, 10:28:41:20,-0.448,-0.502,-1.097,105.286,87.158,0.122
2025-02-01, 10:28:41:71,-0.283,-0.996,0.244,-107.056,48.035,12.878
2025-02-01, 10:28:42:22,-0.628,-0.632,-0.753,13.733,-5.432,72.754
2025-02-01, 10:28:42:73,-0.201,-1.041,0.403,-69.031,-23.132,41.931
2025-02-01, 10:28:43:24,-0.484,-0.658,-0.725,-10.498,8.179,39.001
2025-02-01, 10:28:43:75,-0.115,-1.08,0.403,-99.731,26.672,24.536
2025-02-01, 10:28:44:26,-0.736,-0.809,-0.748,95.947,180.542,63.416
